code,complexity,sex_restriction,minimum_age_months,maximum_age_months,description
0701010142,N,N,,,"PALMILHAS CONFECCIONADAS SOB MEDIDA (PAR)"
0701010150,N,N,,,"PALMILHAS PARA PÉS NEUROPÁTICOS CONFECCIONADAS SOB MEDIDA PARA ADULTOS OU CRIANÇAS (PAR)"
0701010169,N,N,,,"PALMILHAS PARA SUSTENTAÇÃO DOS ARCOS PLANTARES ATÉ O NÚMERO 33 (PAR)"
0701010177,N,N,,,"PALMILHAS PARA SUSTENTAÇÃO DOS ARCOS PLANTARES NÚMEROS ACIMA DE 34 (PAR)"
0701010185,I,I,0,1571,"ADAPTAÇÃO DE OPM AUXILIARES DE LOCOMOÇÃO"
0701010193,I,I,0,1571,"MANUTENÇÃO DE OPM AUXILIARES DE LOCOMOÇÃO"
0701010207,I,I,132,1571,"CADEIRA DE RODAS MONOBLOCO"
0701010215,I,I,132,1571,"CADEIRA DE RODAS (ACIMA 90KG)"
0701010223,I,I,144,1571,"CADEIRA DE RODAS MOTORIZADA ADULTO OU INFANTIL"
0701010231,I,I,0,131,"CADEIRA DE RODAS PARA BANHO EM CONCHA INFANTIL"
0701010240,N,N,,,"CADEIRA DE RODAS PARA BANHO COM ENCOSTO RECLINÁVEL"
0701010258,I,I,60,1571,"CADEIRA DE RODAS PARA BANHO COM ARO DE PROPULSÃO"
0701010266,N,N,,,"ADAPTAÇÃO DE ASSENTO PARA DEFORMIDADES DE QUADRIL"
0701010274,N,N,,,"ADAPTAÇÃO DE ENCOSTO PARA DEFORMIDADES DE TRONCO"
0701010282,N,N,,,"ADAPTAÇÃO DO APOIO DE PÉS DA CADEIRA DE RODAS"
0701010290,N,N,,,"APOIOS LATERAIS DO TRONCO EM 3 OU 4 PONTOS"
0701010304,N,N,,,"APOIOS LATERAIS DE QUADRIL PARA CADEIRA DE RODAS"
0701010312,N,N,,,"APOIO PARA ESTABILIZAÇÃO DA CABEÇA NA CADEIRA DE RODAS"
0701010320,N,N,,,"ADAPTAÇÃO DO APOIO DE BRAÇOS DA CADEIRA DE RODAS"
0701010339,N,N,,,"ADAPTAÇÃO ABDUTOR TIPO CAVALO PARA CADEIRA DE RODAS"
0701020016,N,N,,,"ÓRTESE / CINTA LSO TIPO PUTTI (BAIXA)"
0701020024,N,N,,,"ÓRTESE / CINTA TLSO TIPO PUTTI (ALTO)"
